id,url,text,createdAt,retweetCount,replyCount,likeCount,quoteCount,viewCount,isReply
2.06E+18,https://x.com/dosbing_id/status/2055204503226618287,"""kasus Nadiem ini jadi sinyal kalau siapa aja bisa dikriminalisasi"" tanpa kasus Nadiem, udah dari dulu rakyat kecil selalu dikriminalisasi, pun aktivis tanpa koneksi banyak yg dikriminalisasi, guru juga ada yg dikriminalisasi. bedanya, mereka bukan elit jadi kalian mana peduli",Fri May 15 08:31:52 +0000 2026,0,0,0,0,9,FALSE
2.06E+18,https://x.com/mesheviksus2/status/2055203247997214935,@sunsetJhesus @CapatainN65413 Pengadilan tersebut yg salah dua duanya Nadiem (jadi bag pemerintah dan beri kebijakan ngawur) Pemerintah (terlalu maksa kasus),Fri May 15 08:26:52 +0000 2026,0,0,0,0,44,TRUE
2.06E+18,https://x.com/ggyarine/status/2055203112504394052,"dari kasus pak nadiem, emang paling bener kalo udah kaya raya ga usah berkontribusi dengan bergabung ke politik di Indonesia.",Fri May 15 08:26:20 +0000 2026,0,7,11,0,214,FALSE
2.06E+18,https://x.com/gyuvcentric/status/2055202690268045673,"@zulfadhli88 @PNS_Ababil Emang ada, anggota DPR juga dulunya banyak aktivis. Ya gapapa kalo emang ketika menjabat ada kesalahan prosedural atau pidana, silahkan ditindaklanjuti. Kasus Nadiem itu kan pembuktiannya dianggep belum cukup untuk tuntutan segitu. Jadi banyak yg mempertanyakan. Apalagi ibam",Fri May 15 08:24:39 +0000 2026,0,1,0,0,10,TRUE
2.06E+18,https://x.com/bokobo833/status/2055202175337329108,@AhmadShiddiqN @Lost_Ataraxia ya harusnya lu nuntut kasus yang lain ikut di penjarain bukan malah bela nadiem????,Fri May 15 08:22:37 +0000 2026,0,0,0,0,9,TRUE
2.06E+18,https://x.com/lilrwok/status/2055201150912385224,Banyak yang gabisa mahamin kalau orang orang yang marah sama keputusan di kasus nadiem kemarin itu bukan berarti nadiem glazer....two things can coexist,Fri May 15 08:18:32 +0000 2026,0,0,0,0,3,FALSE
2.06E+18,https://x.com/elzataher/status/2055201094033449080,"Dalam kasus Nadiem Makarim, persoalannya bukan hanya soal benar atau salahnya terdakwa, tetapi juga soal bagaimana jaksa membangun kepercayaan publik. Ketika jaksa terlihat terlalu emosional, banyak bicara, lalu beberapa kali terpeleset dalam pernyataan atau konstruksi argumentasi, yang terganggu bukan sekadar citra pribadi, melainkan keyakinan publik terhadap keseluruhan proses hukum. Sebab dalam perkara besar, publik tidak hanya menilai isi dakwaan, tetapi juga ketenangan, presisi, dan profesionalitas aparat penegak hukum. Jika jaksa tampak kurang meyakinkan, maka ruang keraguan akan membesar, opini liar berkembang, dan apa pun putusan akhirnya nanti akan sulit sepenuhnya dipercaya. Di situlah bahayanya: hukum kehilangan wibawa bukan hanya karena putusan, tetapi karena proses yang sejak awal dianggap tidak cukup solid dan matang.",Fri May 15 08:18:19 +0000 2026,2,0,1,0,15,FALSE
2.06E+18,https://x.com/vaneloody/status/2055199448897368369,"darimana ada konklusi Nadiem sebagai pebisnis eksploitatif = membiaskan kalo pantas dihukum di kasus Chromebook ini? aneh ngawur konklusinya mbak, jauh bgt. ini tuh 2 hal yang berbeda makanya saya disagree diawal. ini deh saya pake bahasa gampang dan jelas: 1. Tuduhan Nadiem korupsi chromebook = kriminalisasi, kasus diurus scr serampangan, bukti hukum gak kuat, saya gasetuju Nadiem dikriminalisasi 2. Saya kritik Nadiem yang eksploitatif krn saya kontra dgn argumen yg saya Qrt = saya gasetuju narasi Nadiem Hero. darimana bisa timbun konklusi kl saya kritik Nadiem yg bisnisnya eksploitatif berarti saya bilang dia pantas dihukum kasus Chromebook? aneh, korupsi dan eksploitasi tuh 2 hal yang berbeda, mba. tolong bacanya yang jelas dan belajar memahami 2 hal berbeda di satu argumen.",Fri May 15 08:11:47 +0000 2026,0,0,0,0,14,TRUE
2.06E+18,https://x.com/boogeypal/status/2055197978491842960,"@xyzwitter @RidhaIntifadha Kasus hambalang juga gak ada efek ke sby, padahal kerugian negara 100x lipat dari kasus nadiem",Fri May 15 08:05:56 +0000 2026,0,0,0,0,6,TRUE
2.06E+18,https://x.com/panah_bintangku/status/2055197523317522656,Soal Nadiem. Berbagai opini pro dan kontra ramai di linimasa. Semua punya alasan mendukung atau menentang. Yg pasti sih vonisnya teramat brutal &amp; menurut saya tdk layak. Tercium byk konspirasi terutama ketika si Jack yg jadi atasan Nadiem sama sekali tdk tersentuh di kasus ini. https://t.co/gHKoXjru3M,Fri May 15 08:04:07 +0000 2026,0,0,0,0,5,FALSE
2.06E+18,https://x.com/8yte_null/status/2055197092516344275,"Menurut gw Pendidikan, Kesehatan, dan Sosial adalah 3 kementerian, yang kalau Menterinya korup harus dihukum  pancung sih. Di luar kasus Nadiem yes.",Fri May 15 08:02:25 +0000 2026,0,0,0,0,5,FALSE
2.06E+18,https://x.com/streetlawyers85/status/2055197084652016010,"@txtdaritaxpayer Kalau Hotman Paris mainnya lewat jalur hukum, adu pembuktian di persidangan. Kalau pengacara nadiem yg skrg, adu opini, kerahkan buzer, artis &amp; filosofis komentari kasus, supaya dapat pengampunan presiden. Kacau negara kalau semua koruptor dapat pengampunan. ????",Fri May 15 08:02:23 +0000 2026,0,0,0,0,31,TRUE
2.06E+18,https://x.com/streetlawyers85/status/2055196016794894488,"@MindaXtv Kasus korupsi jangan dilawan dgn opini tapi harus dilawan dgn bukti &amp; saksi yg kuat. Pengacara nadiem &amp; tim nadiem main diopini, seakan mau pengaruhi hakim atau bahkan presiden supaya dapat pengampunan juga seperti koruptor lainnya. Kacau negara kalau koruptor diampuni.",Fri May 15 07:58:08 +0000 2026,0,0,0,0,9,TRUE
2.06E+18,https://x.com/arpanparutang/status/2055195470578979081,"bah..kasus ini karena sakit hati aja kah ? ..nadiem pilih ganjar kah ?... terlalu janggal..org dituntut karena kebijakan, itu jahat...padal tidak ada aliran dana..",Fri May 15 07:55:58 +0000 2026,0,0,0,0,5,FALSE
2.06E+18,https://x.com/ngekaoo98_owei/status/2055194753223074038,@Gerindra PUNTEN NANYA.. KASUS NADIEM MAKARIM ITU PESENAN PAK PRABOWO BUKAN SIH ? BIAR BISA MERAMPAS SAHAM OJEK ONLINE NADIEM SUPAYA PROGRAM PAK PRABOWO YANG DIPIDATOKAN DI HARI BURUH BISA DILAKSANAKAN ? atau siapa mastermind yg bisikin pak prabowo untuk skenario sperti ini ??,Fri May 15 07:53:07 +0000 2026,0,1,0,0,39,TRUE
2.06E+18,https://x.com/vischok_luhmyer/status/2055193930795491658,"yaallah mau nangis banget liat kasus chromebook ini.. pak nadiem makasih pak, sudah jadi menteri pendidikan yang sangat sangat lebih baik. kalo mau bilang kebeneran akan terungkap rasanya klise bgt. dasar pemerintah bobrok!! nepotism. ancur udh negara ini wak",Fri May 15 07:49:51 +0000 2026,0,0,0,0,12,FALSE
2.06E+18,https://x.com/juniostronaut/status/2055192516610425174,gw empati dg kasus nadiem tp gw jg gamau klo beliau ga dihukum??,Fri May 15 07:44:14 +0000 2026,0,0,5,0,117,FALSE
2.06E+18,https://x.com/lmalau/status/2055190530066452990,"@BosPurwa @xcintakiehlx @tomlembong jangan belain nadiem ya pak..  Dah bener kok quite spt anies @aniesbaswedan ; Sejauh ini nalar saya utk bebrapa kasus dan akhirnya bebas : bela dirut ASDP, TL, Amsal.. kali ini utk NM tidak..",Fri May 15 07:36:20 +0000 2026,0,0,0,0,42,TRUE
